,RumorDate,CREDIBILITY,RELIABILITY,MARKETCAP,LASTTRADE,WEEKHIGH52,WEEKLOW52,CASH,EPS,PE,GROSSMARGINS,NETMARGINS,AVERAGEVOLUME,diff_target_SP500_price_move_10,diff_target_SP500_price_move_5,diff_target_SP500_price_move_3,target_price_move_3,target_price_move_5,target_price_move_10,"[-2,-1]","[-1,0]","[0,1]","[1,2]","[2,3]","[3,4]","[4,5]","[5,6]","[6,7]","[7,8]","[8,9]","[9,10]"
0,19-06-2015,0.013017751,0.462733442,0.001867341,0.201995489,0.017583613,0.060213695,0.006358819,0.200737014,0.004009527,0.680208938,0.503121748,0.002178157,0.077213751,0.053385213,0.081181151,0.045869163,0.130494322,0.064716284,0,0,0.073974655,0.179786504,0.255696361,0.28653474,0.204007741,0,0,0,0,0
1,25-10-2016,0.538461538,0.919802591,0.000435914,0.062158339,0.03222308,0.301147429,0.015291446,0.200243539,0.003134006,0.680789321,0.101977107,0.005157455,0.069663489,0.049451111,0.078987029,0.0740466,0.149641528,0.09274293,0,0,0.073974655,0.179786504,0.255696361,0.28653474,0.204007741,0,0,0,0,0
3,15-03-2017,0.082840237,0.369076328,8.20E-05,0.152184717,0.000550074,0.098768356,0.00333081,0.200206985,0.001418701,0.709808474,0,0.037540715,0.064154328,0.0493784,0.116446163,0.054687254,0.198342796,0.071734674,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
4,29-03-2017,0.050887574,0.418428579,0.003343058,0.001070377,0.005481987,0.084741302,0.007570023,0.199466773,0.001077426,0.883343006,0.477627471,0.007154068,0.059565002,0.050884424,0.099317154,0.055722052,0.169471983,0.086256078,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
8,12-04-2017,0.195266272,0.134653132,0.013390326,0.061776062,0.051369403,0.003289647,0.015291446,0.19701082,0.002794519,0.544399304,0.543184183,0.007078057,0.059702136,0.050238738,0.085708345,0.046439431,0.188182843,0.152483588,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
9,01-08-2017,0.337278107,0.707251416,0.00375342,0.012519592,0.020115203,0.033764935,0.01650265,0.20160288,0.001701011,0.568775392,0.472424558,0.018870584,0.066069984,0.045217246,0.081564001,0.059956431,0.133464494,0.118481632,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
10,09-08-2017,0.349112426,0.782962257,0.000906852,0.060246951,0.004231819,0.643665456,0.011657835,0.198760829,0.003761165,0.913522925,0.529136316,0.105297818,0.083941998,0.049014401,0.08177398,0.063046972,0.168381703,0.10187089,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
11,09-08-2017,0.467455621,0.374123717,0.074989757,0.009920104,0.011267139,0.01657982,0.021498864,0.199236027,0.017160204,0.99245502,0.557752341,0.005560156,0.106305598,0.047509164,0.079147867,0.037320853,0.118615799,0.165828391,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
12,10-08-2017,0.230769231,0.167741574,0.002920668,0.174261249,0.015508334,0.05923996,0.046934141,0.19901899,0.001098868,0.943702844,0.680020812,0.008000054,0.059561267,0.051354746,0.078512451,0.046815492,0.149882254,0.095458135,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
13,10-08-2017,0.437869822,0.471706578,0.015817018,0.253794105,0.007432249,0.108847834,0.001059803,0.201173374,0.001161405,0.976784678,0.170655567,0.036345916,0.064489945,0.056063931,0.085067301,0.058938823,0.147041746,0.078851671,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
14,12-08-2017,0.009467456,0.979249621,0.002984796,0.180224779,0.030394709,0.004289699,0.022255867,0.200805553,0.001029183,0.885664539,0.608740895,0.00322766,0.069517291,0.058856105,0.080156155,0.063911648,0.133213005,0.07018941,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
15,14-08-2017,0.656804734,0.159329258,0.000145831,0.084330441,0.007432249,0.158560977,0.001362604,0.199503326,0.005301367,0.809634359,0.823621228,0.005783854,0.058776345,0.110314181,0.09099247,0.056882769,0.130167384,0.076206736,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
16,15-08-2017,0.094674556,0.673602154,0.13186163,0.056653542,0.010476408,0.126454024,0.003936412,0.199898563,0.031729582,0.702843877,0.557752341,0.055877279,0.067145698,0.058692789,0.080209995,0.033557148,0.131215357,0.081100889,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
17,16-08-2017,0.050887574,0.403286411,0.000745399,0.040234718,0.001131402,0.119637876,0.059046177,0.200627353,3.04E-05,0.590249565,0.242455775,0.002401705,0.056589626,0.050624555,0.077182627,0.070734317,0.125465705,0.083284118,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
18,20-08-2017,0.023668639,0.51040323,0.02275516,0.110153293,0.003212932,0.159245223,0.025132475,0.198393007,0.002908873,0.845618108,0.49219563,0.005878849,0.046941181,0.067142087,0.103775434,0.059316663,0.123975137,0.089125497,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
19,25-08-2017,0.094674556,0.958499243,0.000830737,0.010894912,0.004900659,0.016421917,0.092354277,0.198390723,0.011949963,0.850261172,0.625390219,0.016271041,0.058477858,0.047807015,0.070641397,0.063599229,0.124994118,0.091923232,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
20,25-08-2017,0.207100592,0.633223039,0.022769348,0.088726633,0.003150423,0.061134797,0.01650265,0.200689038,0.006632515,0.616947185,0.517169615,0.031658652,0.044688308,0.047830308,0.105124023,0.060495058,0.090369574,0.079388706,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
21,28-08-2017,0.743195266,0.933823117,0.01295757,0.122806682,0.111086802,0.013421759,0.006207419,0.200837537,0.001466944,0.880441091,0.638917794,0.010200782,0.079288387,0.056283782,0.085790098,0.066693262,0.227029137,0.070202257,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
22,28-08-2017,0.763313609,0.194660984,0.002611162,0.223899996,0.010860834,0.086951945,0.006358819,0.198440984,0.002812387,0.735925711,0.363163371,0.000798301,0.062380151,0.088995511,0.077103933,0.079317822,0.156775009,0.058330915,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
23,28-08-2017,0.289940828,0.63378386,0.00062244,0.026434497,0.041996268,0.069924733,0.007570023,0.200506269,0.000571769,0.846778874,0.344432882,0.007124322,0.059842555,0.056183003,0.084404915,0.042687694,0.15505602,0.09678221,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
24,28-08-2017,0.076923077,0.480679715,0.000115024,0.002637716,0.005269458,0.004289699,0.027857684,0.200042494,0.003702201,0.611143355,0.1566077,0.01004166,0.066203997,0.053991622,0.094734231,0.046538674,0.153980146,0.073909349,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
25,29-08-2017,0.49112426,0.607986092,0.012616945,0.027619557,0.001503327,0.047344597,0.014534444,0.199827741,0.002496127,0.647707487,0.472944849,0.027882472,0.05521824,0.056236714,0.08602841,0.045321384,0.145210622,0.076315782,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
26,06-09-2017,0.743195266,0.937188043,0.028077778,0.198210941,0.016461587,0.010421601,0.027252082,0.199674672,0.005751634,0.626813697,0.353277836,0.003751216,0.064048047,0.077217241,0.093245601,0.046637392,0.132235965,0.100290894,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
27,07-09-2017,0.609467456,0.351130054,0.011372044,0.02679766,0.068193539,0.003342281,0.014534444,0.201570896,0.006913039,0.273360418,0.638917794,0.032356428,0.134164801,0.057526039,0.129392452,0.114009822,0.123681021,0.086427842,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
28,20-09-2017,0.007100592,0.065656566,0.018767579,0.001548224,0.0029754,0.050292121,0.015442846,0.200689038,0.01649195,0,0.472944849,0.001236205,0.079936788,0.09387765,0.082105037,0.044608304,0.147621214,0.072969214,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
29,20-09-2017,0.082840237,0.769502552,0.000605219,0.537539661,0.000646962,0.107979367,0.003785011,0.201015736,0.000802263,0.546720836,0.565556712,0.005560156,0.058369312,0.062988367,0.075816345,0.047993351,0.13322875,0.119338797,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
30,21-09-2017,0.526627219,0.795861141,0.068164728,0.084445124,0.019993312,0.036817727,0.118546556,0.200031071,0.004340081,0.311085316,0.537460978,0.00328536,0.055308945,0.049934308,0.075816345,0.049073667,0.155974124,0.082096948,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
31,25-09-2017,0.633136095,0.139139701,0.016079202,0.025287664,0.010585797,0.002868572,0.005904618,0.200074478,0.009566403,0.663958212,0.51925078,0.008142957,0.083038712,0.049387241,0.076318873,0.041266747,0.10561621,0.101535587,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
32,30-09-2017,0.680473373,0.463855084,0.005067414,0.163500134,0.042708864,0.103005421,0.001362604,0.198760829,0.004306132,0.753917586,0.053069719,0.025801403,0.056462948,0.054177881,0.09148314,0.068369994,0.137596357,0.068821902,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
34,02-10-2017,0.893491124,0.916437665,0.003721824,0.352173248,0.00197214,0.122690668,0.007872824,0.201038582,0.004232874,0.815438189,0.487513007,0.082330792,0.093049556,0.073080686,0.078249156,0.042713472,0.159647874,0.067645571,0,0.11356304,0.232288037,0.258097819,0.216027875,0.130984643,0.049038586,0,0,0,0,0
33,02-10-2017,0.917159763,0.749873815,0.001740975,0.27701747,0.008322993,0.125585557,0.002876609,0.200143016,0.003296603,0.705165409,0.667013528,0.008014703,0.087545327,0.050941663,0.080929282,0.054389967,0.121574135,0.074071051,0,0.11356304,0.232288037,0.258097819,0.216027875,0.130984643,0.049038586,0,0,0,0,0
35,03-10-2017,0.278106509,0.443104705,0.00047393,0.07777438,0.025584688,0.002894889,0.000454201,0.200657053,0.005254911,0.651189785,0.718002081,0.006703982,0.078299936,0.073566815,0.098760501,0.042669703,0.126262291,0.077413188,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
36,03-10-2017,0.562130178,0.134653132,0.001437369,0.274398868,0.01369559,0.049792094,0.06994701,0.202062086,0.004970813,0.97156123,0.590010406,0.007788539,0.058893509,0.082775458,0.140620665,0.042527683,0.128761052,0.105010728,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
37,03-10-2017,0.046153846,0.24625652,0.034810427,0.39577201,0.000571952,0.01155324,0.003785011,0.201696549,0.035022612,0.648868253,0.651925078,0.000914074,0.064574155,0.055530308,0.084944775,0.047259049,0.067638662,0.083427474,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
38,03-10-2017,0.046153846,0.636587965,0.008456237,0.004931381,0.011323397,0.027790936,0.011657835,0.19907382,0.008851692,0.630876378,0.611342352,0.0056195,0.067043669,0.047391373,0.089403069,0.049371691,0.138563458,0.071650463,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
39,04-10-2017,0.065088757,0.355055802,0.000172878,0.012156428,0.007901062,0.102768567,0.011052233,0.198728845,0.006584272,0.773070226,0.603537981,0.003101873,0.06534736,0.046972291,0.076958706,0.049693675,0.147621214,0.072218462,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
40,04-10-2017,0.420118343,0.674162975,0.001368296,0.312091441,0.02113409,0.005395021,0.020439061,0.204271302,0.008724831,0.763203714,0.534859521,0.021377374,0.059767413,0.053289662,0.08279032,0.059570084,0.123429477,0.065476008,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
41,04-10-2017,0.514792899,0.393752454,0.001397442,0.024886272,0.013376798,0.252434339,0.011809235,0.200266385,0.007845737,0.807312826,0.643080125,0.01198162,0.053377335,0.039779982,0.078658921,0.050526175,0.168414447,0.092755665,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
49,05-10-2017,0.917159763,0.919802591,0.031875571,0.085763982,0.000543823,0.020790568,0.022407267,0.199407373,0.004363309,0.671503192,0.472944849,0.00445826,0.066127962,0.058117248,0.149172286,0.059394182,0.124417841,0.066071372,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
48,05-10-2017,0.526627219,0.553586451,0.003703439,0.029186896,0.009176233,0.033764935,0.00348221,0.200558815,0.005453243,0.91642484,0.437565036,0.002430555,0.06044828,0.091187763,0.091838161,0.043640814,0.143348318,0.101758159,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
47,05-10-2017,0.021301775,0.916437665,0.002479602,0.203620169,0.03895836,0.002868572,0.001665405,0.20134472,0.003337699,0.822402786,0.468262227,0.002401033,0.042582787,0.046158972,0.072150763,0.047097316,0.143045526,0.069228895,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
46,05-10-2017,0.076923077,0.614715944,0.016079202,0.105776215,0.028819498,0.185667667,0.018925057,0.201139105,0.001559856,0.752176436,0.514047867,0.000799198,0.064574155,0.056891143,0.083661855,0.056833017,0.127868394,0.088603831,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
50,05-10-2017,0.014201183,0.652290954,0.017978514,0.003784548,0.022493648,0.082478025,0.022558668,0.199967102,0.006913039,0.622751016,0.580645161,0.007201753,0.085427543,0.057244538,0.07559879,0.050789701,0.129140467,0.069293649,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
44,05-10-2017,0.50295858,0.492456957,0.004952744,0.187296915,0.022037336,0.031422706,0.045571537,0.199407373,0.000391304,0.652350551,0.661810614,0.007924417,0.066157783,0.057941473,0.076725602,0.061257535,0.132594067,0.18996019,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
43,05-10-2017,0.230769231,0.652290954,0.00042615,0.082419053,0.005419478,0.158245171,0.000605602,0.200101893,0.004086358,0.611723738,0.492715921,0.006953241,0.054114768,0.06761725,0.208550583,0.046043344,0.18991255,0.084810637,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
42,05-10-2017,0.384615385,0.151477763,0.000931095,0.216694063,0.001425192,0.121953787,0.17668433,0.19991684,0.003480641,0.739988392,0.562434964,0.006046641,0.06178781,0.0487427,0.08308673,0.051483915,0.140997856,0.149511953,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
45,05-10-2017,0.313609467,0.092591554,0.013202159,0.080297412,0.021599777,0.133322806,0.001514005,0.201612019,0.010625962,0.97156123,0.517169615,0.003326841,0.060423276,0.065246242,0.078912516,0.047091598,0.14962318,0.093659894,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
51,06-10-2017,0.009467456,0.248499804,0.000116561,0.28401315,0.006185206,0.230196326,0.004844815,0.202850276,0.005195947,0.471851422,0.456815817,0.006283792,0.057673611,0.057825182,0.084709905,0.049536031,0.129857292,0.082061942,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
52,06-10-2017,0.014201183,0.732488363,0.005940779,0.160403685,0.010023222,0.049792094,0.007570023,0.200111032,0.00633591,0.627974463,0.567117586,0.052548047,0.073943065,0.060902823,0.078523235,0.051319491,0.188299968,0.072647704,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
53,06-10-2017,0.704142012,0.152599406,0.031804318,0.063324286,0.003584857,0.16458761,0.001211204,0.201027159,0.02406967,0.499709808,0.535900104,0.009258905,0.06205661,0.11727142,0.080424673,0.047313106,0.121355965,0.065886702,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
54,09-10-2017,0.881656805,0.507038304,0.270324952,0.0134944,0.018489985,0.015290278,0.001816805,0.201232774,0.00368076,0.636680209,0.468262227,0.004395029,0.073747729,0.052509867,0.082574092,0.042508295,0.14296248,0.118481632,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
56,10-10-2017,0.008284024,0.38646178,0.010304051,0.009728965,0.009798192,0.107058266,0.004844815,0.200814691,0.003418104,0.62739408,0.615504683,0.182006269,0.163561663,0.053336569,0.078201852,0.047300965,0.137292134,0.077027934,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
55,10-10-2017,0.183431953,0.410577085,0.079497945,0.218911273,0.015180165,0.045976104,0.042392127,0.200766714,0.003337699,0.737086477,0.142039542,0.038637604,0.06534736,0.055588598,0.090305387,0.09524479,0.182611669,0.087198516,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
57,11-10-2017,0.360946746,0.362346475,0.175149338,0.198210941,0.000656338,0.091846939,0.015442846,0.201303597,0.003873732,0.922809054,0.6566077,0.003397246,0.203058864,0.060603448,0.067388116,0.052740574,0.139154111,0.058330915,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
58,11-10-2017,0.059171598,0.910268633,0.015948785,0.005848847,0.043590232,0.089741565,0.059046177,0.199181197,0.004597377,0.781195589,0.497398543,0.011546033,0.06013398,0.058753435,0.080929282,0.041805013,0.341546338,0.096891825,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
59,12-10-2017,0.100591716,0.974763053,0.013795807,0.003172904,0.005288211,0.000500026,0.022861469,0.200931206,0.003950563,0.655252467,0.638917794,0.009422885,0.066196684,0.072611241,0.118383377,0.043313195,0.154045572,0.068381534,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
60,12-10-2017,0.024852071,0.199708373,0.003603601,0.05181773,0.008638661,0.064950787,0.06994701,0.200252678,0.017705171,0.726059199,0.531737773,0.021903995,0.060391383,0.049319823,0.082870333,0.080158869,0.120972697,0.070497147,0,0,0.073974655,0.179786504,0.255696361,0.28653474,0.204007741,0,0,0,0,0
61,12-10-2017,0.050887574,0.336548707,0.001969589,0.013647311,0.001297049,0.044844465,0.000605602,0.199692949,0.001395473,0.706906558,0.6566077,0.000577294,0.111616591,0.070756051,0.164260542,0.044946318,0.145436119,0.080417913,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
62,14-10-2017,0.940828402,0.576580113,0.012512246,0.269907107,0.041996268,0.066450866,0.002271007,0.199633549,0.012961279,0.997098085,0.58012487,0.006043128,0.086018812,0.086417521,0.093319935,0.049007309,0.156528462,0.073446431,0,0.11356304,0.232288037,0.258097819,0.216027875,0.130984643,0.049038586,0,0,0,0,0
63,16-10-2017,0.074556213,0.343434343,0.000509847,0.013589969,0.008985582,0.132112216,0.018622256,0.20017957,0.012607497,0.829947766,0.577523413,0.018553909,0.050377614,0.050889969,0.11255623,0.093313351,0.124291454,0.069729907,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
64,17-10-2017,0.25443787,0.987661937,0.004772367,0.09092473,0.009123101,0.016053476,0.014534444,0.200689038,0.001715306,0.849100406,0.574921956,0.045136797,0.061059876,0.039180694,0.079139075,0.053297204,0.177406141,0.073123303,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
